name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Amanda Lemos,"5' 4""","65""",Southpaw,"May 22, 1987",http://ufcstats.com/fighter-details/3df5493bb279226f,5.35,58.0,4.67,48.0,1.31,57.0,87.0,0.3,6.0
Angela Hill,"5' 3""","64""",Orthodox,"Jan 12, 1985",http://ufcstats.com/fighter-details/f0feeb2192937424,5.56,49.0,5.15,62.0,0.57,30.0,78.0,0.1,19.0
Ricky Simon,"5' 6""","69""",Orthodox,"Aug 31, 1992",http://ufcstats.com/fighter-details/5987b2458f4b5290,3.04,43.0,3.0,64.0,6.76,54.0,72.0,0.4,10.0
Raphael Assuncao,"5' 5""","66""",Orthodox,"Jul 19, 1982",http://ufcstats.com/fighter-details/2f13e4020cea5b38,3.2,40.0,2.34,68.0,1.44,38.0,77.0,0.3,22.0
Mateusz Gamrot,"5' 10""","70""",Southpaw,"Dec 11, 1990",http://ufcstats.com/fighter-details/72db2a14ffa73ece,3.79,47.0,2.69,64.0,5.83,40.0,100.0,0.5,4.0
Diego Ferreira,"5' 9""","74""",Orthodox,"Jan 18, 1985",http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,4.67,37.0,3.35,56.0,0.75,24.0,63.0,0.8,13.0
Cub Swanson,"5' 8""","70""",Orthodox,"Nov 02, 1983",http://ufcstats.com/fighter-details/d247691a6c0e9034,4.66,50.0,3.65,60.0,1.08,51.0,61.0,0.5,29.0
Darren Elkins,"5' 10""","71""",Orthodox,"May 16, 1984",http://ufcstats.com/fighter-details/92a9aa9c93192871,3.44,38.0,3.09,52.0,2.65,32.0,56.0,1.1,25.0
Gerald Meerschaert,"6' 1""","77""",Southpaw,"Dec 18, 1987",http://ufcstats.com/fighter-details/6ac9bc2953c47345,3.11,44.0,3.43,52.0,2.42,41.0,35.0,2.0,15.0
Dustin Stoltzfus,"6' 0""","75""",Orthodox,"Nov 15, 1991",http://ufcstats.com/fighter-details/71505842fb6455c3,2.87,41.0,3.08,47.0,1.7,33.0,46.0,0.7,4.0
Justin Tafa,"6' 0""","74""",Southpaw,"Dec 13, 1993",http://ufcstats.com/fighter-details/e13abac8089a801a,5.02,55.0,5.94,49.0,0.0,0.0,100.0,0.0,5.0
Harry Hunsucker,"6' 2""","75""",Orthodox,"Jan 03, 1989",http://ufcstats.com/fighter-details/f703250471acaf96,3.83,52.0,6.7,42.0,0.0,0.0,0.0,2.4,3.0
Melissa Gatto,"5' 5""","69""",Orthodox,"Feb 05, 1996",http://ufcstats.com/fighter-details/a4a80dd7336ffd59,4.19,56.0,2.75,58.0,0.72,16.0,85.0,0.0,2.0
Sijara Eubanks,"5' 4""","67""",Orthodox,"Apr 27, 1985",http://ufcstats.com/fighter-details/4234f0097c83fa62,4.3,43.0,3.43,57.0,1.9,44.0,66.0,0.3,10.0
Charles Jourdain,"5' 9""","69""",Switch,"Nov 27, 1995",http://ufcstats.com/fighter-details/f1d64ae34e088832,5.7,49.0,4.57,60.0,0.0,0.0,48.0,0.5,8.0
Andre Ewell,"5' 8""","75""",Southpaw,"Jan 21, 1988",http://ufcstats.com/fighter-details/5f6f049d54728e88,4.28,40.0,4.87,51.0,0.36,75.0,72.0,0.1,9.0
Raquel Pennington,"5' 7""","67""",Orthodox,"Sep 05, 1988",http://ufcstats.com/fighter-details/fc169c387b4b465d,3.66,49.0,3.21,62.0,1.07,28.0,64.0,0.7,15.0
Macy Chiasson,"5' 11""","72""",Orthodox,"Jul 27, 1991",http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,4.04,46.0,2.56,45.0,1.08,23.0,64.0,0.4,7.0
Don'Tale Mayes,"6' 6""","81""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/1a9480fc288e55d7,3.75,46.0,3.83,42.0,1.32,53.0,62.0,0.0,7.0
Josh Parisian,"6' 4""","79""",Orthodox,"Jun 28, 1989",http://ufcstats.com/fighter-details/b5da8f7d05e85a55,4.93,51.0,4.95,42.0,0.31,11.0,42.0,0.3,5.0
Jordan Leavitt,"5' 9""","71""",Southpaw,"Jun 02, 1995",http://ufcstats.com/fighter-details/ac026518a9b4dc0f,1.31,55.0,1.31,53.0,2.81,31.0,0.0,2.2,4.0
Matt Sayles,"5' 7""","68""",Orthodox,"Feb 21, 1994",http://ufcstats.com/fighter-details/5b8ba8f5512893b1,4.83,41.0,2.81,61.0,0.36,16.0,81.0,0.7,5.0
Charles Oliveira,"5' 10""","74""",Orthodox,"Oct 17, 1989",http://ufcstats.com/fighter-details/07225ba28ae309b6,3.44,53.0,3.13,52.0,2.5,41.0,57.0,2.8,29.0
Dustin Poirier,"5' 9""","72""",Southpaw,"Jan 19, 1989",http://ufcstats.com/fighter-details/029eaff01e6bb8f0,5.61,50.0,4.28,53.0,1.44,36.0,64.0,1.2,29.0
Julianna Pena,"5' 6""","69""",Orthodox,"Aug 19, 1989",http://ufcstats.com/fighter-details/3253b16d38ae087d,3.36,49.0,2.02,53.0,2.43,55.0,22.0,0.9,9.0
Amanda Nunes,"5' 8""","69""",Orthodox,"May 30, 1988",http://ufcstats.com/fighter-details/80fa8218c99f9c58,4.55,51.0,2.81,55.0,2.46,54.0,82.0,0.8,18.0
Geoff Neal,"5' 11""","75""",Southpaw,"Aug 28, 1990",http://ufcstats.com/fighter-details/b997be68943010fc,4.63,49.0,4.91,62.0,0.5,50.0,85.0,0.2,9.0
Santiago Ponzinibbio,"6' 0""","73""",Orthodox,"Sep 26, 1986",http://ufcstats.com/fighter-details/6d1bffff14897645,4.79,40.0,4.51,61.0,0.51,33.0,60.0,0.0,14.0
Kai Kara-France,"5' 4""","69""",Orthodox,"Mar 26, 1993",http://ufcstats.com/fighter-details/853eb0dd5c0e2149,5.09,40.0,3.79,65.0,0.51,23.0,87.0,0.0,9.0
Cody Garbrandt,"5' 8""","65""",Orthodox,"Jul 07, 1991",http://ufcstats.com/fighter-details/d8c7c61b176e3994,3.16,38.0,4.22,60.0,1.02,30.0,83.0,0.0,12.0
Sean O'Malley,"5' 11""","72""",Switch,"Oct 24, 1994",http://ufcstats.com/fighter-details/b50a426a33da0012,8.26,62.0,3.52,66.0,0.59,50.0,64.0,0.6,9.0
Raulian Paiva,"5' 8""","69""",Orthodox,"Oct 17, 1995",http://ufcstats.com/fighter-details/82b4e942781b1046,4.13,42.0,5.11,48.0,0.58,23.0,75.0,0.2,7.0
Josh Emmett,"5' 6""","70""",Orthodox,"Mar 04, 1985",http://ufcstats.com/fighter-details/fba03cd6cc28dc41,4.28,39.0,4.1,62.0,1.25,47.0,58.0,0.1,10.0
Dan Ige,"5' 7""","71""",Orthodox,"Aug 06, 1991",http://ufcstats.com/fighter-details/82a5152216251682,3.9,46.0,3.47,57.0,1.35,25.0,55.0,0.4,12.0
Dominick Cruz,"5' 8""","68""",Orthodox,"Mar 09, 1985",http://ufcstats.com/fighter-details/10f3ba6cd2f44a97,3.82,33.0,2.56,71.0,2.88,43.0,83.0,0.1,17.0
Pedro Munhoz,"5' 6""","65""",Orthodox,"Sep 07, 1986",http://ufcstats.com/fighter-details/6bd02119599741a4,5.5,43.0,6.09,58.0,0.57,20.0,81.0,0.7,17.0
Tai Tuivasa,"6' 2""","75""",Southpaw,"Mar 16, 1993",http://ufcstats.com/fighter-details/c62fbc117d57b943,4.63,52.0,3.51,49.0,0.0,0.0,50.0,0.0,10.0
Augusto Sakai,"6' 3""","77""",Orthodox,"May 09, 1991",http://ufcstats.com/fighter-details/441eacbe20e0e80b,5.04,48.0,4.09,49.0,0.14,33.0,68.0,0.0,8.0
Bruno Silva,"6' 0""","74""",Orthodox,"Jul 13, 1989",http://ufcstats.com/fighter-details/12ebd7d157e91701,5.74,60.0,2.87,32.0,0.0,0.0,68.0,0.0,3.0
Jordan Wright,"6' 2""","77""",Orthodox,"Oct 07, 1991",http://ufcstats.com/fighter-details/c878270af633eb11,8.09,63.0,8.29,38.0,0.0,0.0,100.0,0.0,5.0
Andre Muniz,"6' 1""","78""",Southpaw,"Feb 17, 1990",http://ufcstats.com/fighter-details/886264a0c9f4ea5e,2.18,57.0,1.82,47.0,3.6,40.0,45.0,2.9,6.0
Eryk Anders,"6' 1""","75""",Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca,3.16,47.0,3.93,51.0,1.44,31.0,74.0,0.1,13.0
Erin Blanchfield,"5' 4""","66""",Orthodox,"May 04, 1999",http://ufcstats.com/fighter-details/669970f7feba8ecd,5.53,59.0,2.07,65.0,5.0,90.0,100.0,0.5,2.0
Miranda Maverick,"5' 3""","65""",Southpaw,"Jul 01, 1997",http://ufcstats.com/fighter-details/f29a6350c69f4a33,3.76,41.0,2.78,57.0,1.2,66.0,44.0,0.0,4.0
Ryan Hall,"5' 10""","70""",Southpaw,"Feb 22, 1985",http://ufcstats.com/fighter-details/8866c6f509c19089,2.38,50.0,1.33,65.0,0.22,9.0,0.0,2.2,6.0
Darrick Minner,"5' 7""","69""",Orthodox,"Apr 28, 1990",http://ufcstats.com/fighter-details/34e516ab361afb1c,2.58,64.0,1.95,32.0,2.46,72.0,66.0,2.8,6.0
Tony Kelley,"5' 9""","70""",Switch,"Jan 21, 1987",http://ufcstats.com/fighter-details/1a08b01fdabb6ae2,5.58,47.0,4.43,45.0,0.0,0.0,52.0,1.5,3.0
Randy Costa,"5' 9""","73""",Switch,"Jul 06, 1994",http://ufcstats.com/fighter-details/325ad0dd9126d3df,6.73,46.0,7.59,58.0,0.0,0.0,100.0,0.0,5.0
Gillian Robertson,"5' 5""","63""",Orthodox,"May 17, 1995",http://ufcstats.com/fighter-details/38c7f72747f4f712,2.23,52.0,2.59,51.0,2.56,44.0,16.0,1.1,11.0
Priscila Cachoeira,"5' 7""","65""",Orthodox,"Aug 19, 1988",http://ufcstats.com/fighter-details/b1e5bcaad32a3cac,3.82,41.0,6.97,40.0,0.0,0.0,65.0,0.0,6.0
Jose Aldo,"5' 7""","70""",Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6,3.61,46.0,3.74,60.0,0.51,54.0,90.0,0.2,27.0
Rob Font,"5' 8""","71""",Orthodox,"Jun 25, 1987",http://ufcstats.com/fighter-details/05339613bf8e9808,5.64,44.0,3.55,59.0,1.1,36.0,55.0,0.5,13.0
Rafael Fiziev,"5' 8""","71""",Switch,"Mar 05, 1993",http://ufcstats.com/fighter-details/c814b4c899793af6,5.35,52.0,5.57,50.0,0.48,50.0,95.0,0.0,7.0
Brad Riddell,"5' 7""","71""",Orthodox,"Sep 30, 1991",http://ufcstats.com/fighter-details/37ed1ab2f8b819f4,4.76,53.0,3.55,52.0,1.87,39.0,62.0,0.0,5.0
Jamahal Hill,"6' 4""","79""",Southpaw,"May 19, 1991",http://ufcstats.com/fighter-details/5444c5a201d3ee5a,7.45,51.0,3.68,45.0,0.0,0.0,60.0,0.0,7.0
Jimmy Crute,"6' 2""","74""",Orthodox,"Mar 04, 1996",http://ufcstats.com/fighter-details/70e1f8a821b72c8b,4.33,56.0,2.76,50.0,4.87,75.0,60.0,2.0,8.0
Clay Guida,"5' 7""","70""",Orthodox,"Dec 08, 1981",http://ufcstats.com/fighter-details/c47df9303d318c67,2.53,34.0,2.76,62.0,3.26,38.0,68.0,0.7,35.0
Leonardo Santos,"6' 0""","75""",Orthodox,"Feb 05, 1980",http://ufcstats.com/fighter-details/9c65736747ca92ec,2.88,47.0,2.77,59.0,1.01,29.0,86.0,0.3,10.0
Chris Curtis,"5' 10""","75""",Orthodox,"Jul 15, 1987",http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,7.21,67.0,6.64,52.0,0.0,0.0,100.0,0.0,3.0
Brendan Allen,"6' 2""","75""",Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/2f181c0467965b98,4.32,53.0,4.72,42.0,1.15,35.0,50.0,1.6,8.0
Alex Morono,"5' 11""","72""",Orthodox,"Aug 16, 1990",http://ufcstats.com/fighter-details/cdb96af67d096b1e,5.21,42.0,3.93,56.0,0.35,25.0,53.0,0.3,15.0
Mickey Gall,"6' 2""","74""",Switch,"Jan 22, 1992",http://ufcstats.com/fighter-details/9e50097a89442158,2.92,46.0,4.1,49.0,1.08,27.0,36.0,2.0,10.0
Dusko Todorovic,"6' 1""","74""",Orthodox,"May 19, 1994",http://ufcstats.com/fighter-details/866fd7b1a6c90e7f,5.8,54.0,4.96,49.0,0.63,9.0,50.0,0.0,5.0
Maki Pitolo,"5' 10""","75""",Orthodox,"Nov 24, 1990",http://ufcstats.com/fighter-details/c549573c0df4d676,4.1,44.0,3.93,55.0,2.24,52.0,50.0,0.8,7.0
Manel Kape,"5' 5""","68""",Southpaw,"Nov 14, 1993",http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,4.69,53.0,4.59,51.0,0.77,28.0,80.0,0.0,4.0
Zhalgas Zhumagulov,"5' 4""","66""",Switch,"Aug 29, 1988",http://ufcstats.com/fighter-details/55fa6ce3e522c8bb,4.6,46.0,5.1,54.0,1.25,21.0,50.0,0.4,4.0
Bryan Barberena,"6' 0""","72""",Southpaw,"May 03, 1989",http://ufcstats.com/fighter-details/a331233f597090a5,5.44,48.0,4.77,45.0,0.19,25.0,58.0,0.4,14.0
Darian Weeks,"5' 11""","72""",Orthodox,"Nov 23, 1993",http://ufcstats.com/fighter-details/326a001926ffb7ec,7.87,56.0,7.2,50.0,4.0,50.0,0.0,0.0,1.0
Cheyanne Vlismas,"5' 3""","63""",Switch,"Jun 25, 1995",http://ufcstats.com/fighter-details/4959f10a62f3fec3,5.83,51.0,2.93,62.0,0.33,33.0,73.0,0.0,4.0
Mallory Martin,"5' 4""","63""",Orthodox,"Jan 29, 1994",http://ufcstats.com/fighter-details/19b7738321cfae42,4.42,48.0,6.64,55.0,2.28,43.0,25.0,0.3,5.0
William Knight,"5' 10""","73""",Orthodox,"Apr 03, 1988",http://ufcstats.com/fighter-details/5da33b8fbfa5ee95,3.58,65.0,2.72,36.0,2.05,47.0,45.0,0.2,6.0
Alonzo Menifield,"6' 0""","76""",Orthodox,"Oct 18, 1987",http://ufcstats.com/fighter-details/a495f599e787614f,3.86,55.0,3.43,52.0,0.44,20.0,83.0,0.2,9.0
Claudio Puelles,"5' 10""","72""",Southpaw,"Apr 21, 1996",http://ufcstats.com/fighter-details/d747eb273a40a920,2.07,51.0,2.98,46.0,2.87,38.0,55.0,1.0,5.0
Chris Gruetzemacher,"5' 8""","68""",Orthodox,"Jun 16, 1986",http://ufcstats.com/fighter-details/feaf00f3373435d6,6.18,57.0,4.96,52.0,0.21,50.0,65.0,0.0,8.0
Vince Morales,"5' 7""","70""",Orthodox,"Nov 12, 1990",http://ufcstats.com/fighter-details/37098a6e6c27fb66,4.62,39.0,4.25,54.0,0.19,25.0,50.0,0.0,7.0
Louis Smolka,"5' 9""","68""",Orthodox,"Jul 16, 1991",http://ufcstats.com/fighter-details/d2bc285ead803db0,4.54,47.0,3.87,52.0,1.81,37.0,31.0,1.9,16.0
Ketlen Vieira,"5' 8""","68""",Orthodox,"Aug 26, 1991",http://ufcstats.com/fighter-details/b9706f80d005036c,3.07,38.0,4.07,54.0,1.71,46.0,90.0,0.4,8.0
Miesha Tate,"5' 6""","65""",Orthodox,"Aug 18, 1986",http://ufcstats.com/fighter-details/b96619b3acd7d9da,2.41,43.0,2.87,52.0,1.99,31.0,53.0,1.4,19.0
Sean Brady,"5' 10""","72""",Orthodox,"Nov 23, 1992",http://ufcstats.com/fighter-details/45f7cb591c3ab00b,3.91,54.0,3.22,62.0,3.22,60.0,87.0,0.9,5.0
Michael Chiesa,"6' 1""","75""",Southpaw,"Dec 07, 1987",http://ufcstats.com/fighter-details/c58f51dedb310998,1.88,41.0,1.67,54.0,3.39,54.0,60.0,1.0,17.0
Taila Santos,"5' 6""","68""",Orthodox,"Jun 22, 1993",http://ufcstats.com/fighter-details/f7467152fd9f18a2,3.71,50.0,2.23,63.0,2.44,86.0,88.0,1.1,6.0
Joanne Wood,"5' 6""","65""",Orthodox,"Dec 23, 1985",http://ufcstats.com/fighter-details/12f91bfa8f1f723b,6.71,50.0,4.55,52.0,1.57,55.0,63.0,0.4,15.0
Rani Yahya,"5' 6""","67""",Orthodox,"Sep 12, 1984",http://ufcstats.com/fighter-details/94527830000ab715,1.58,38.0,1.76,50.0,2.9,33.0,24.0,1.9,26.0
Kyung Ho Kang,"5' 9""","73""",Orthodox,"Sep 09, 1987",http://ufcstats.com/fighter-details/a7897d200692ab64,2.56,45.0,2.36,57.0,2.23,59.0,68.0,0.9,10.0
Adrian Yanez,"5' 7""","70""",Orthodox,"Nov 29, 1993",http://ufcstats.com/fighter-details/0232cabbc30a2372,6.35,39.0,5.52,60.0,0.0,0.0,100.0,0.0,5.0
Davey Grant,"5' 8""","69""",Orthodox,"Dec 18, 1985",http://ufcstats.com/fighter-details/113df4fde64735c6,4.55,44.0,3.75,57.0,1.77,44.0,60.0,0.1,9.0
Pat Sabatini,"5' 8""","70""",Orthodox,"Nov 09, 1990",http://ufcstats.com/fighter-details/b8bbdeff718dbb7d,1.35,55.0,1.44,53.0,2.82,35.0,0.0,2.8,3.0
Tucker Lutz,"5' 8""","72""",Orthodox,"Jul 12, 1994",http://ufcstats.com/fighter-details/7832f2f62f04178f,4.1,51.0,3.02,44.0,2.0,66.0,70.0,0.2,5.0
Rafa Garcia,"5' 7""","70""",Orthodox,"Aug 05, 1994",http://ufcstats.com/fighter-details/e132d47bd9efbbe0,3.53,35.0,5.47,53.0,4.0,44.0,70.0,0.3,3.0
Natan Levy,"5' 9""","71""",Southpaw,"Sep 30, 1991",http://ufcstats.com/fighter-details/a29db9cd4f9ccea5,2.51,41.0,1.7,60.0,2.89,55.0,46.0,1.2,2.0
Loopy Godinez,"5' 2""","61""",Orthodox,"Sep 06, 1993",http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,1.97,52.0,2.07,58.0,4.57,35.0,77.0,0.6,4.0
Loma Lookboonmee,"5' 1""","61""",Orthodox,"Jan 18, 1996",http://ufcstats.com/fighter-details/4e30e4250cb08b61,4.41,56.0,2.81,54.0,1.4,38.0,68.0,0.0,5.0
Cody Durden,"5' 7""","67""",Southpaw,"Mar 29, 1991",http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,3.51,46.0,4.11,48.0,4.05,36.0,60.0,0.5,3.0
Aoriqileng,"5' 7""","69""",Orthodox,"Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a,6.03,45.0,8.3,49.0,2.0,57.0,54.0,0.0,2.0
Shayilan Nuerdanbieke,"5' 8""","69""",Orthodox,"May 04, 1994",http://ufcstats.com/fighter-details/0a73acff6325c1e2,1.13,30.0,2.93,45.0,3.0,27.0,33.0,0.0,2.0
Sean Soriano,"5' 9""","70""",Orthodox,"Oct 06, 1989",http://ufcstats.com/fighter-details/bd5403efbaa445c0,3.18,61.0,2.14,56.0,1.33,55.0,52.0,0.0,5.0
Luana Pinheiro,"5' 2""","62""",Orthodox,"Nov 18, 1992",http://ufcstats.com/fighter-details/a3a542074109b347,4.49,41.0,3.4,60.0,4.76,77.0,0.0,0.7,3.0
Sam Hughes,"5' 5""","64""",Orthodox,"Jun 28, 1992",http://ufcstats.com/fighter-details/e94085e821bd81de,3.49,47.0,5.6,49.0,0.0,0.0,41.0,0.0,3.0
Max Holloway,"5' 11""","69""",Orthodox,"Dec 04, 1991",http://ufcstats.com/fighter-details/150ff4cc642270b9,7.38,47.0,4.69,60.0,0.31,66.0,84.0,0.3,25.0
Yair Rodriguez,"5' 11""","71""",Orthodox,"Oct 06, 1992",http://ufcstats.com/fighter-details/cbf5e6f231b55443,4.65,45.0,4.09,53.0,0.86,28.0,60.0,0.8,11.0
Marcos Rogerio de Lima,"6' 1""","75""",Orthodox,"Jun 25, 1985",http://ufcstats.com/fighter-details/ab943cd2c3c17825,3.39,54.0,2.12,54.0,1.14,66.0,47.0,0.6,14.0
Ben Rothwell,"6' 4""","78""",Orthodox,"Oct 17, 1981",http://ufcstats.com/fighter-details/bd58d34e39b7b12a,3.71,42.0,4.63,47.0,0.68,34.0,70.0,0.4,25.0
Felicia Spencer,"5' 6""","68""",Orthodox,"Nov 29, 1990",http://ufcstats.com/fighter-details/39d91e95949de3d9,3.21,48.0,4.54,45.0,1.18,18.0,27.0,0.2,6.0
Leah Letson,"5' 7""","71""",,"Aug 21, 1992",http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7,3.06,41.0,3.84,52.0,0.51,50.0,76.0,0.0,2.0
Khaos Williams,"6' 0""","77""",Orthodox,"Mar 30, 1994",http://ufcstats.com/fighter-details/2558ae2e5671e318,5.0,38.0,3.38,49.0,0.0,0.0,50.0,0.0,5.0
Miguel Baeza,"6' 2""","74""",Orthodox,"Aug 23, 1992",http://ufcstats.com/fighter-details/82d4c957649faf9b,4.86,50.0,4.97,54.0,0.47,28.0,100.0,1.9,6.0
Song Yadong,"5' 8""","67""",Orthodox,"Dec 02, 1997",http://ufcstats.com/fighter-details/efb96bf3e9ada36f,4.88,42.0,3.77,59.0,0.46,42.0,60.0,0.3,9.0
Julio Arce,"5' 7""","70""",Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a,4.14,35.0,3.05,67.0,0.49,30.0,93.0,0.5,8.0
Joel Alvarez,"6' 3""","77""",Orthodox,"Mar 02, 1993",http://ufcstats.com/fighter-details/58bbef3770bb2dfc,3.99,43.0,3.34,53.0,0.0,0.0,0.0,1.5,5.0
Thiago Moises,"5' 9""","70""",Orthodox,"Mar 23, 1995",http://ufcstats.com/fighter-details/d945aae53e3e54e6,2.52,37.0,4.12,56.0,1.0,35.0,60.0,1.1,9.0
Andrea Lee,"5' 6""","69""",Orthodox,"Feb 11, 1989",http://ufcstats.com/fighter-details/05fa626cb33d15b8,5.74,48.0,3.78,65.0,1.77,50.0,58.0,0.8,8.0
Cynthia Calvillo,"5' 4""","64""",Orthodox,"Jul 13, 1987",http://ufcstats.com/fighter-details/98215d037be5bcb7,4.27,40.0,4.1,64.0,1.75,43.0,73.0,1.0,11.0
Sean Woodson,"6' 2""","78""",Orthodox,"Jun 07, 1992",http://ufcstats.com/fighter-details/4682bc59d5f55145,5.75,44.0,3.76,59.0,0.0,0.0,82.0,0.6,5.0
Collin Anglin,"5' 9""","71""",Orthodox,"Feb 20, 1993",http://ufcstats.com/fighter-details/047a91d3d9c79b05,4.59,48.0,5.54,51.0,2.28,66.0,100.0,0.0,3.0
Cortney Casey,"5' 7""","67""",Orthodox,"May 05, 1987",http://ufcstats.com/fighter-details/5f179af5fffeb9f6,4.46,39.0,4.03,55.0,0.26,27.0,38.0,0.5,14.0
